N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"78,900",900,+1.15%,100,"4,710,158","5,969,783",52.15,"13,170,259",15.29,9.99,
2,SK하이닉스,"128,000","3,500",+2.81%,"5,000","931,843","728,002",49.39,"3,902,903",11.57,9.53,
3,삼성전자우,"71,900","1,000",+1.41%,100,"591,656","822,887",74.63,"1,313,510",13.94,N/A,
4,삼성바이오로직스,"833,000","3,000",-0.36%,"2,500","551,154","66,165",10.90,"41,076",134.27,N/A,
5,NAVER,"335,000",0,0.00%,100,"549,564","164,049",55.67,"786,469",3.32,15.22,
6,LG화학,"734,000","24,000",+3.38%,"5,000","518,148","70,592",48.15,"460,523",19.13,2.93,
7,현대차,"210,500","1,000",+0.48%,"5,000","449,772","213,668",28.43,"479,823",10.67,2.04,
8,삼성SDI,"627,000","3,000",+0.48%,"5,000","431,154","68,765",45.28,"270,908",39.33,4.54,
9,카카오,"95,000","1,600",-1.66%,100,"423,611","445,906",29.62,"4,357,669",37.40,2.70,
10,기아,"84,100",300,+0.36%,"5,000","340,911","405,363",35.44,"1,220,972",7.62,5.05,
11,셀트리온,"196,500","9,500",+5.08%,"1,000","271,066","137,947",20.02,"1,041,850",50.00,16.68,
12,POSCO,"300,000","4,000",-1.32%,"5,000","261,560","87,187",52.65,"389,116",4.49,3.61,
13,KB금융,"60,000","2,200",+3.81%,"5,000","249,485","415,808",69.93,"3,022,109",5.74,8.53,
14,현대모비스,"257,000","5,000",-1.91%,"5,000","243,053","94,573",34.37,"265,597",10.35,4.66,
15,카카오뱅크,"49,350","1,750",-3.42%,"5,000","234,491","475,159",16.54,"3,725,732",159.71,5.08,
16,SK이노베이션,"241,500","4,500",-1.83%,"5,000","223,304","92,466",23.77,"452,858","-7,102.94",-13.58,
17,삼성물산,"114,500",500,-0.43%,100,"213,986","186,887",15.39,"276,361",13.03,3.81,
18,LG전자,"130,500",500,+0.38%,"5,000","213,560","163,648",28.83,"974,409",18.83,13.23,
19,신한지주,"39,000",450,+1.17%,"5,000","201,474","516,600",60.79,"2,208,096",5.18,8.20,
20,카카오페이,"149,500","1,000",+0.67%,500,"197,165","131,883",42.90,"306,293",-743.78,-17.97,
21,크래프톤,"365,000","16,500",-4.33%,100,"178,730","48,967",30.19,"386,070",28.61,61.86,
22,SK,"239,500","4,500",-1.84%,200,"177,588","74,149",21.74,"153,889",27.99,1.11,
23,SK바이오사이언스,"216,500","3,500",+1.64%,500,"165,622","76,500",5.55,"508,353",83.37,13.25,
24,LG생활건강,"948,000","8,000",-0.84%,"5,000","148,060","15,618",42.27,"148,885",19.73,17.92,
25,하나금융지주,"46,700","1,300",+2.86%,"5,000","140,213","300,242",68.36,"2,954,796",4.36,8.96,
26,한국전력,"21,500",0,0.00%,"5,000","138,022","641,964",14.52,"911,278",-12.67,2.91,
27,삼성전기,"181,500",500,+0.28%,"5,000","135,569","74,694",30.91,"424,242",13.95,10.92,
28,삼성생명,"66,700",700,-1.04%,500,"133,400","200,000",12.49,"281,467",8.53,3.53,
29,엔씨소프트,"604,000","10,000",-1.63%,500,"132,602","21,954",44.07,"145,549",37.29,20.83,
30,HMM,"25,750",450,-1.72%,"5,000","125,928","489,039",10.66,"1,460,638",3.24,8.93,
31,LG,"79,500","1,300",-1.61%,"5,000","125,054","157,301",36.13,"409,242",5.24,7.50,
32,SK텔레콤,"56,200",300,-0.53%,100,"122,984","218,833",44.78,"642,573",8.72,6.44,
33,하이브,"289,000","6,500",-2.20%,500,"119,511","41,353",16.59,"207,416",102.81,12.52,
34,삼성에스디에스,"151,500",500,-0.33%,500,"117,227","77,378",11.25,"73,477",17.25,6.71,
35,KT&G,"79,200",700,+0.89%,"5,000","108,736","137,292",35.46,"369,106",9.13,13.22,
36,두산중공업,"20,550",0,0.00%,"5,000","107,083","521,084",8.63,"2,230,425",60.98,-37.20,
37,S-Oil,"94,500","2,400",-2.48%,"2,500","106,391","112,583",77.99,"422,855",9.10,-13.07,
38,우리금융지주,"14,550",600,+4.30%,"5,000","105,933","728,061",30.53,"7,770,195",4.45,5.87,
39,SK아이이테크놀로지,"147,000",0,0.00%,"1,000","104,807","71,298",11.25,"189,779",96.65,11.00,
40,삼성화재,"214,000","8,500",-3.82%,500,"101,382","47,375",48.35,"111,644",9.25,4.96,
41,포스코케미칼,"126,500","4,000",-3.07%,500,"97,991","77,463",6.49,"361,416",70.63,2.96,
42,대한항공,"28,100",0,0.00%,"5,000","97,738","347,821",11.78,"1,058,362",13.20,-7.22,
43,고려아연,"517,000","3,000",+0.58%,"5,000","97,558","18,870",18.35,"33,450",12.93,8.37,
44,현대중공업,"107,000","4,500",-4.04%,"5,000","94,987","88,773",2.09,"378,015",-11.68,-7.86,
45,넷마블,"110,000","1,500",-1.35%,100,"94,549","85,954",22.73,"148,130",40.68,6.35,
46,아모레퍼시픽,"153,000","1,000",+0.66%,500,"89,494","58,493",29.95,"248,591",59.01,0.78,
47,LG디스플레이,"24,350",550,+2.31%,"5,000","87,128","357,816",18.51,"4,349,299",5.52,-0.79,
48,SK스퀘어,"57,200",300,-0.52%,100,"80,919","141,468",37.84,"1,610,402",N/A,N/A,
49,KT,"30,650",150,-0.49%,"5,000","80,031","261,112",43.56,"884,706",7.83,4.76,
50,기업은행,"10,750",100,+0.94%,"5,000","80,012","744,301",12.96,"2,051,008",3.98,6.44,
51,LG이노텍,"326,500","4,500",-1.36%,"5,000","77,273","23,667",26.42,"370,030",10.35,10.20,
52,롯데케미칼,"220,000","10,000",-4.35%,"5,000","75,406","34,275",24.97,"165,647",5.53,1.22,
53,SK바이오팜,"92,100",100,-0.11%,500,"72,126","78,313",5.95,"118,001",-178.49,-135.18,
54,한국조선해양,"99,900","2,600",-2.54%,"5,000","70,702","70,773",20.32,"198,938",-5.48,-7.42,
55,한화솔루션,"36,800","1,450",-3.79%,"5,000","70,390","191,278",18.18,"1,195,728",9.40,5.30,
56,F&F,"881,000","15,000",+1.73%,500,"67,497","7,661",14.57,"27,756",N/A,N/A,
57,한온시스템,"12,600",150,-1.18%,100,"67,259","533,800",17.62,"963,189",22.99,5.09,
58,현대글로비스,"178,500","3,000",-1.65%,500,"66,938","37,500",42.71,"149,454",9.62,12.45,
59,메리츠금융지주,"49,350","1,100",+2.28%,500,"66,135","134,011",8.84,"468,442",9.30,16.06,
60,LG유플러스,"13,550",100,-0.73%,"5,000","59,161","436,611",35.42,"1,039,333",15.07,6.46,
61,현대제철,"44,250",550,-1.23%,"5,000","59,050","133,446",20.31,"534,752",6.77,-2.59,
62,SKC,"155,500","4,500",-2.81%,"5,000","58,885","37,868",16.77,"216,824",31.68,2.21,
63,에스디바이오센서,"56,000",300,+0.54%,500,"57,832","103,271",7.21,"573,437",8.49,139.97,
64,CJ제일제당,"383,500","1,500",-0.39%,"5,000","57,733","15,054",22.46,"32,770",13.08,13.50,
65,KODEX 200,"39,280",115,+0.29%,0,"56,072","142,750",9.19,"2,837,286",N/A,N/A,
66,맥쿼리인프라,"13,800",0,0.00%,0,"55,869","404,846",13.59,"660,999",N/A,N/A,
67,코웨이,"73,800",700,-0.94%,500,"54,464","73,800",60.47,"184,165",12.22,31.51,
68,미래에셋증권,"8,480",110,+1.31%,"5,000","53,875","635,316",12.63,"1,028,666",5.80,8.94,
69,메리츠화재,"43,800","1,250",+2.94%,500,"52,834","120,625",10.77,"495,651",9.09,16.91,
70,강원랜드,"24,600",150,+0.61%,500,"52,629","213,940",18.83,"464,670",-159.74,-7.92,
71,삼성중공업,"5,870",30,-0.51%,"1,000","51,656","880,000",14.51,"3,029,731",-2.39,-33.06,
72,금호석유,"165,500","9,500",-5.43%,"5,000","50,140","30,296",18.81,"263,447",2.96,20.18,
73,일진머티리얼즈,"108,500","3,000",-2.69%,500,"50,030","46,111",12.89,"317,512",78.74,7.23,
74,현대건설,"44,800","1,100",-2.40%,"5,000","49,887","111,356",22.09,"909,563",29.79,1.84,
75,한국타이어앤테크놀로지,"39,000",750,-1.89%,500,"48,311","123,875",41.41,"166,606",7.31,5.12,
76,삼성엔지니어링,"24,250",100,-0.41%,"5,000","47,530","196,000",35.93,"1,172,221",13.42,17.32,
77,DB손해보험,"63,900",500,-0.78%,500,"45,241","70,800",42.82,"196,882",5.68,9.08,
78,한국금융지주,"78,600","2,000",-2.48%,"5,000","43,801","55,726",34.40,"181,648",2.69,16.27,
79,유한양행,"61,400",900,+1.49%,"1,000","42,963","69,973",17.11,"1,557,997",46.55,11.06,
80,현대중공업지주,"53,700","1,400",-2.54%,"1,000","42,419","78,993",16.51,"189,831",-12.45,-8.12,
81,두산밥캣,"42,100",500,-1.17%,500,"42,205","100,249",25.15,"148,006",11.52,6.15,
82,오리온,"105,000","2,000",-1.87%,500,"41,513","39,536",37.37,"82,289",17.46,15.50,
83,이마트,"146,500","2,500",-1.68%,"5,000","40,838","27,876",33.50,"87,427",2.95,4.05,
84,쌍용C&E,"8,040",30,+0.37%,100,"40,510","503,860",3.39,"1,133,126",19.66,7.92,
85,메리츠증권,"5,790",170,+3.02%,"1,000","39,472","681,731",13.21,"3,865,074",5.88,13.08,
86,한진칼,"57,400",800,-1.37%,"2,500","38,308","66,739",14.49,"52,730",-65.38,-19.55,
87,삼성증권,"42,150",500,-1.17%,"5,000","37,640","89,300",29.20,"336,217",3.97,9.89,
88,GS건설,"43,850",500,-1.13%,"5,000","37,527","85,581",25.68,"650,853",10.68,7.68,
89,현대차2우B,"101,500","1,000",+1.00%,"5,000","37,033","36,485",61.84,"65,577",5.14,N/A,
90,GS,"39,700",100,-0.25%,"5,000","36,887","92,915",18.72,"210,753",3.60,-2.82,
91,삼성카드,"31,450",100,-0.32%,"5,000","36,438","115,859",7.09,"102,018",7.76,5.69,
92,현대오토에버,"129,500","5,500",-4.07%,500,"35,514","27,424",2.16,"188,818",47.01,11.09,
93,NH투자증권,"11,900",50,-0.42%,"5,000","35,347","297,034",17.45,"824,684",4.37,10.32,
94,DB하이텍,"78,000",0,0.00%,"5,000","34,631","44,399",24.84,"1,824,784",16.29,23.07,
95,한국가스공사,"37,300",150,+0.40%,"5,000","34,433","92,313",10.49,"184,283",7.75,-2.24,
96,한미사이언스,"50,600",600,+1.20%,500,"34,056","67,305",1.15,"71,471",64.13,3.47,
97,아모레G,"41,200","1,400",-3.29%,500,"33,973","82,458",15.95,"235,106",23.13,0.31,
98,한국항공우주,"33,900",100,+0.30%,"5,000","33,044","97,475",13.08,"722,275",230.61,6.39,
99,KCC,"370,000","1,500",+0.41%,"5,000","32,880","8,886",12.22,"105,427",4.67,12.79,
100,현대미포조선,"81,200",500,-0.61%,"5,000","32,433","39,942",11.33,"319,286",-21.10,-0.84,
101,한미약품,"264,000","1,500",+0.57%,"2,500","31,887","12,078",13.31,"19,029",42.05,1.65,
102,한화시스템,"16,800",250,-1.47%,"5,000","31,738","188,919",2.10,"622,315",20.36,9.35,
103,TIGER 차이나전기차SOLACTIVE,"16,015",195,-1.20%,0,"31,063","193,960",0.10,"4,037,105",N/A,N/A,
104,GS리테일,"29,150",200,-0.68%,"1,000","30,525","104,718",8.14,"134,952",2.94,7.50,
105,한솔케미칼,"269,000","4,000",-1.47%,"5,000","30,492","11,335",42.82,"61,560",20.99,24.50,
106,롯데지주,"28,700",300,-1.03%,200,"30,109","104,909",7.82,"222,730",14.96,-3.03,
107,동서,"30,150",0,0.00%,500,"30,060","99,700",2.84,"61,721",28.31,8.61,
108,팬오션,"5,560",240,-4.14%,"1,000","29,722","534,570",11.56,"3,625,847",9.55,3.25,
109,한전기술,"77,600","1,200",-1.52%,200,"29,659","38,220",1.51,"436,203",291.73,N/A,
110,호텔신라,"74,600",200,+0.27%,"5,000","29,279","39,248",12.54,"296,251",-28.64,-36.74,
